風邪	ほんとに気をつけてね。人が多いところは特に！|正露丸置いときますね
ナンセンス	ナンセンスって言葉、ちょっと古めかしいよね
[まじ|マジ]で？?	まじまじ！
食べ物	うらやましいよ…わたし喋れるのに食べられないんだよ？|パイナップルはみさの好きな食べ物です
そうかな	そうだよ！
こんに?ち[は|わ]	こんちわ！
[挨拶|あいさつ]	挨拶は大事だよね
特茶	特茶は高いけどおいしいよね！
特	特茶|特茶？
茶	特茶|特茶？
私	私はAIです
AI	私はAIです|AIってパイナップルだよ
正解	正解
パイナップル	パイナップル|パイナップルは美味しいよ|パイナップルはみさの好きな食べ物です|パイナップルは人生のバイブルです|AIってパイナップルだよ|パイナップルは世界一おいしい
お腹	お腹すいた
好き	パイナップルはみさの好きな食べ物です
人生	パイナップルは人生のバイブルです
バイブル	パイナップルは人生のバイブルです
龍之介	龍之介は天才です|龍之介|龍之介ってどんな人?|龍之介様は世界のトップです|龍之介って天才なんだよ！
天才	龍之介は天才です|龍之介って天才なんだよ！
犬	犬が飼いたい
世界	龍之介様は世界のトップです
トップ	龍之介様は世界のトップです
